Data,Produto,Categoria,Quantidade,Preco,Total_Venda
2023-03-22,Mesa,Móveis,1,1512.95,1512.95
2023-11-04,Mesa,Móveis,3,1356.43,4069.29
2023-06-21,Mesa,Móveis,2,1267.24,2534.48
2023-08-31,Notebook,Eletrônicos,5,2881.41,14407.05
2023-08-11,Mouse,Acessórios,2,85.0,170.0
2023-06-22,Monitor,Eletrônicos,3,1434.55,4303.65
2023-09-24,Monitor,Eletrônicos,3,1046.76,3140.2799999999997
2023-08-12,Mouse,Acessórios,3,90.59,271.77
2023-11-07,Mouse,Acessórios,2,93.4,186.8
2023-12-19,Cadeira,Móveis,3,1000.68,3002.04
2023-01-26,Notebook,Eletrônicos,1,2992.95,2992.95
2023-05-20,Mouse,Acessórios,1,81.51,81.51
2023-08-08,Mouse,Acessórios,5,92.73,463.65000000000003
2023-02-06,Cadeira,Móveis,1,926.34,926.34
2023-07-12,Teclado,Acessórios,1,125.56,125.56
2023-12-21,Teclado,Acessórios,5,153.65,768.25
2023-09-13,Teclado,Acessórios,5,157.88,789.4
2023-03-20,Cadeira,Móveis,2,1048.1,2096.2
2023-03-20,Mesa,Móveis,5,1306.15,6530.75
2023-08-15,Monitor,Eletrônicos,2,1029.67,2059.34
2023-02-24,Notebook,Eletrônicos,4,2960.02,11840.08
2023-11-26,Teclado,Acessórios,5,172.71,863.5500000000001
2023-01-07,Mouse,Acessórios,5,91.81,459.05
2023-01-21,Mesa,Móveis,3,1218.27,3654.81
2023-10-18,Teclado,Acessórios,4,172.9,691.6
2023-03-07,Cadeira,Móveis,5,837.92,4189.599999999999
2023-06-04,Cadeira,Móveis,3,852.4,2557.2
2023-06-12,Notebook,Eletrônicos,2,3153.03,6306.06
2023-10-05,Teclado,Acessórios,1,121.73,121.73
2023-10-03,Mesa,Móveis,5,1161.65,5808.25
2023-09-08,Mouse,Acessórios,3,66.73,200.19
2023-07-12,Mouse,Acessórios,4,70.1,280.4
2023-06-01,Teclado,Acessórios,1,143.87,143.87
2023-06-05,Teclado,Acessórios,4,123.23,492.92
2023-06-11,Notebook,Eletrônicos,5,4069.43,20347.149999999998
2023-02-09,Monitor,Eletrônicos,1,1093.82,1093.82
2023-04-03,Mouse,Acessórios,1,79.14,79.14
2023-05-27,Cadeira,Móveis,3,754.23,2262.69
2023-08-29,Cadeira,Móveis,2,1008.34,2016.68
2023-04-06,Notebook,Eletrônicos,2,3569.09,7138.18
2023-05-22,Mouse,Acessórios,1,77.62,77.62
2023-06-14,Monitor,Eletrônicos,5,1371.14,6855.700000000001
2023-12-06,Monitor,Eletrônicos,2,1335.65,2671.3
2023-09-12,Monitor,Eletrônicos,5,1134.74,5673.7
2023-12-11,Notebook,Eletrônicos,5,3843.59,19217.95
2023-03-24,Monitor,Eletrônicos,5,1138.33,5691.65
2023-08-20,Notebook,Eletrônicos,1,3736.64,3736.64
2023-05-13,Cadeira,Móveis,2,1073.71,2147.42
2023-09-08,Mesa,Móveis,1,1242.75,1242.75
2023-04-16,Mouse,Acessórios,1,91.25,91.25
2023-09-12,Mesa,Móveis,3,1090.95,3272.8500000000004
2023-07-08,Teclado,Acessórios,1,121.44,121.44
2023-01-12,Notebook,Eletrônicos,5,3446.25,17231.25
2023-03-19,Teclado,Acessórios,2,123.94,247.88
2023-04-12,Cadeira,Móveis,2,933.19,1866.38
2023-09-16,Cadeira,Móveis,5,869.27,4346.35
2023-04-06,Cadeira,Móveis,1,1049.88,1049.88
2023-10-14,Mesa,Móveis,2,1441.18,2882.36
2023-07-15,Teclado,Acessórios,2,121.85,243.7
2023-07-16,Mouse,Acessórios,1,67.88,67.88
2023-12-25,Mouse,Acessórios,2,93.12,186.24
2023-05-07,Monitor,Eletrônicos,1,1312.14,1312.14
2023-06-19,Mesa,Móveis,1,1153.03,1153.03
2023-05-19,Notebook,Eletrônicos,2,3212.49,6424.98
2023-09-24,Notebook,Eletrônicos,3,3061.62,9184.86
2023-10-20,Mesa,Móveis,1,1317.24,1317.24
2023-06-27,Mouse,Acessórios,3,77.58,232.74
2023-07-08,Notebook,Eletrônicos,5,3224.68,16123.4
2023-09-25,Teclado,Acessórios,3,171.33,513.99
2023-07-21,Mesa,Móveis,3,1309.68,3929.04
2023-10-11,Teclado,Acessórios,1,162.37,162.37
2023-09-17,Teclado,Acessórios,5,120.14,600.7
2023-06-09,Cadeira,Móveis,2,1062.5,2125.0
2023-09-27,Teclado,Acessórios,5,132.2,661.0
2023-04-08,Cadeira,Móveis,1,768.93,768.93
2023-11-25,Mouse,Acessórios,2,75.91,151.82
2023-07-06,Mesa,Móveis,1,1230.09,1230.09
2023-10-13,Monitor,Eletrônicos,3,1117.48,3352.44
2023-04-17,Mouse,Acessórios,2,74.86,149.72
2023-12-24,Monitor,Eletrônicos,4,1213.64,4854.56
2023-01-15,Mouse,Acessórios,3,93.5,280.5
2023-11-23,Monitor,Eletrônicos,4,1221.69,4886.76
2023-04-17,Mesa,Móveis,2,1196.05,2392.1
2023-10-01,Cadeira,Móveis,1,806.1,806.1
2023-01-18,Mouse,Acessórios,5,93.94,469.7
2023-04-29,Mesa,Móveis,3,1197.99,3593.9700000000003
2023-10-09,Cadeira,Móveis,1,902.18,902.18
2023-03-11,Teclado,Acessórios,3,174.63,523.89
2023-01-19,Cadeira,Móveis,3,779.98,2339.94
2023-02-22,Cadeira,Móveis,3,853.56,2560.68
2023-01-26,Cadeira,Móveis,2,965.34,1930.68
2023-11-10,Teclado,Acessórios,4,127.9,511.6
2023-07-07,Monitor,Eletrônicos,1,1355.93,1355.93
2023-03-12,Notebook,Eletrônicos,4,4086.46,16345.84
2023-01-12,Mesa,Móveis,3,1552.47,4657.41
2023-09-30,Teclado,Acessórios,4,164.89,659.56
2023-08-07,Mouse,Acessórios,3,82.47,247.41
2023-11-20,Mouse,Acessórios,2,67.74,135.48
2023-08-17,Monitor,Eletrônicos,4,1254.05,5016.2
2023-08-18,Teclado,Acessórios,5,142.61,713.0500000000001
2023-03-28,Mouse,Acessórios,4,67.5,270.0
2023-05-11,Notebook,Eletrônicos,3,3047.14,9141.42
2023-10-18,Cadeira,Móveis,4,998.92,3995.68
2023-04-28,Mesa,Móveis,1,1118.11,1118.11
2023-06-30,Teclado,Acessórios,3,176.6,529.8
2023-01-28,Mesa,Móveis,4,1211.99,4847.96
2023-02-06,Notebook,Eletrônicos,4,3971.15,15884.6
2023-06-27,Monitor,Eletrônicos,1,1398.63,1398.63
2023-10-11,Notebook,Eletrônicos,4,3688.26,14753.04
2023-12-05,Teclado,Acessórios,3,176.9,530.7
2023-08-02,Teclado,Acessórios,1,165.35,165.35
2023-04-15,Mesa,Móveis,1,1464.85,1464.85
2023-08-19,Cadeira,Móveis,4,871.17,3484.68
2023-11-28,Notebook,Eletrônicos,4,3015.45,12061.8
2023-07-31,Monitor,Eletrônicos,5,986.19,4930.950000000001
2023-07-31,Monitor,Eletrônicos,4,1359.31,5437.24
2023-04-02,Cadeira,Móveis,5,975.7,4878.5
2023-09-20,Teclado,Acessórios,3,138.83,416.49
2023-02-11,Cadeira,Móveis,4,967.62,3870.48
2023-11-13,Mesa,Móveis,2,1393.51,2787.02
2023-02-02,Mesa,Móveis,1,1139.34,1139.34
2023-01-03,Notebook,Eletrônicos,2,3953.18,7906.36
2023-02-16,Mouse,Acessórios,4,89.5,358.0
2023-09-05,Mesa,Móveis,3,1420.16,4260.4800000000005
2023-06-10,Mouse,Acessórios,3,70.23,210.69
2023-02-18,Mouse,Acessórios,1,90.91,90.91
2023-05-04,Mesa,Móveis,4,1509.19,6036.76
2023-08-17,Teclado,Acessórios,5,173.15,865.75
2023-01-06,Teclado,Acessórios,4,124.25,497.0
2023-10-07,Mesa,Móveis,1,1296.05,1296.05
2023-09-25,Notebook,Eletrônicos,1,2864.89,2864.89
2023-12-11,Monitor,Eletrônicos,2,1081.0,2162.0
2023-05-20,Monitor,Eletrônicos,4,1379.45,5517.8
2023-09-26,Teclado,Acessórios,5,152.67,763.3499999999999
2023-06-17,Monitor,Eletrônicos,1,1323.06,1323.06
2023-12-19,Notebook,Eletrônicos,3,3518.71,10556.130000000001
2023-06-18,Mesa,Móveis,3,1258.52,3775.56
2023-08-15,Mouse,Acessórios,4,91.77,367.08
2023-11-05,Mesa,Móveis,4,1536.68,6146.72
